,users,authors,views,likes,reposts,count_cmts,playlists,time_posts
37,Nur Ain,Tuhan jagakan dia - motif band,"6,198,662 plays
6.19M","View all likes
83.8K","View all reposts
2,013",592 comments,All music genres,27 March 2012
38,Rudi hartanto,Tipe X-selamat jalan,"8,423,577 plays
8.42M","View all likes
113K","View all reposts
2,593","1,683 comments",All music genres,20 September 2012
39,Fiersa Besari,Fiersa Besari - APRIL,"10,421,346 plays
10.4M","View all likes
138K","View all reposts
4,007","2,391 comments",All music genres,24 February 2013
40,Fourtwnty,Hitam Putih,"11,545,025 plays
11.5M","View all likes
131K","View all reposts
3,620","1,273 comments",All music genres,14 April 2013
41,Fourtwnty,Aku Tenang,"14,908,189 plays
14.9M","View all likes
191K","View all reposts
6,355","1,890 comments",All music genres,14 April 2013
42,AhmedtheArab,AhmedTheArab - Budden [@therealahmedthearab on instagram],"18,051,548 plays
18M","View all likes
30.8K","View all reposts
806",437 comments,All music genres,3 January 2019
43,FACE,МОЙ КАЛАШНИКОВ,"5,773,633 plays
5.77M","View all likes
78.2K","View all reposts
1,498",757 comments,All music genres,28 January 2019
44,Тима Белорусских,Витаминка,"8,529,629 plays
8.52M","View all likes
112K","View all reposts
2,075","1,013 comments",All music genres,30 January 2019
45,TrillzOnTop,Psychotic Thoughts,"221,327 plays
221K","View all likes
125","View all reposts
4",7 comments,All music genres,18 January 2019
46,Тима Белорусских,Я Больше не напишу,"4,640,287 plays
4.64M","View all likes
68.6K","View all reposts
1,137",419 comments,All music genres,30 January 2019
47,Тима Белорусских,Тима Белорусских - Незабудка,"8,123,120 plays
8.12M","View all likes
111K","View all reposts
2,224",708 comments,All music genres,23 October 2018
48,abdo,"Alan Walker, K-391 & Emelie Hollow - Lily (original mix) ❤️. Mp3","25,852,108 plays
25.8M","View all likes
377K","View all reposts
9,793","17,893 comments",All Music Genres,29 January 2019
49,Ferryan Yudha,Andmesh Kamaleng - Cinta Luar Biasa,"16,911,147 plays
16.9M","View all likes
247K","View all reposts
4,542","4,353 comments",All Music Genres,10 November 2018
50,masdayat97,Armada Band - Harusnya Aku,"15,414,157 plays
15.4M","View all likes
189K","View all reposts
3,370","4,617 comments",All Music Genres,29 July 2016
51,Vexy,[Nightcore] - Lily - [Alan Walker & K-391] - [Ft. Emelie Hollow],"7,520,981 plays
7.52M","View all likes
75.4K","View all reposts
1,729","3,230 comments",All Music Genres,19 December 2018
52,Adit Laey,FIERSA BESARI ft. THANTRI - Waktu Yang Salah,"13,402,328 plays
13.4M","View all likes
174K","View all reposts
3,044","2,449 comments",All Music Genres,25 August 2013
53,Sekuyy,Alan Walker - Lily feat K-391 Emelie Hollow,"4,809,327 plays
4.8M","View all likes
63K","View all reposts
1,321","2,277 comments",All Music Genres,28 February 2019
54,CROOKS,Kit Kat - CROOKS x BOYCE,"38,101 plays
38.1K","View all likes
931","View all reposts
36",4 comments,ALL MUSIC GENRES,31 October 2017
55,AFTR:HRS,Quarantino - Broken Love,"114,891 plays
114K","View all likes
3,213","View all reposts
316",38 comments,ALL MUSIC GENRES,7 February 2020
56,Progressive Vibes Music,Armin AK - Sugar Daddy (Short Mix) [Progressive Vibes Light - PVM056L],"390 plays
390","View all likes
6",0,0,ALL MUSIC GENRES,13 May 2020
57,Mad Decent,Wax Motif - Krush Groove,"2,779,618 plays
2.77M","View all likes
70.7K","View all reposts
10.8K",435 comments,ALL MUSIC GENRES,1 August 2015
58,Take My Space Records,Y do I - That BASSSS,"3,668 plays
3,668","View all likes
140","View all reposts
8",3 comments,ALL MUSIC GENRES,27 April 2020
59,Montril,Montril - Delta,"1,528 plays
1,528","View all likes
71","View all reposts
11",9 comments,ALL MUSIC GENRES,13 December 2019
60,DJ YOGI PRASTIYA L'1,DJ AISYAH JATUH CINTA PADA JAMILA.. TIK TOK PALING POPULER SEDUNIA,"7,574,760 plays
7.57M","View all likes
112K","View all reposts
4,359",663 comments,All music genres,21 April 2018
61,Jonel Cueva,Mix Despacito - Luis Fonsi F.T Daddy Yanke ( Full Party 2 ) Jonel Cueva,"9,044 plays
9,044","View all likes
97","View all reposts
9",3 comments,All music genres,13 February 2017
62,g,DJ Tik Tok Best BassGillano :),"1,683,944 plays
1.68M","View all likes
29.3K","View all reposts
951",168 comments,All music genres,25 March 2018
63,Joharman Nainggolan,Nella Kharisma-Kau Tercipta Bukan Untukku,"11,301,823 plays
11.3M","View all likes
130K","View all reposts
3,115",682 comments,All music genres,8 October 2017
64,Dian Queen,Sabyan Gambus - Full Album Ya Habibal Qolbi 2018 (2).mp3,"121,615 plays
121K","View all likes
1,521","View all reposts
42",2 comments,All music genres,2 June 2018
65,M1 TM,Dj Tik tok_Maimunah ditikung Jamilah _breakbeat 2k18,"548,342 plays
548K","View all likes
10K","View all reposts
356",74 comments,All music genres,29 April 2018
66,uyalesmanajr,Kini_Cover_Anne,"47 plays
47",0,0,0,All music genres,20 February 2019
67,uyalesmanajr,Ingin Lekas memelukmu lagi cover,"253 plays
253",0,0,0,All music genres,20 February 2019
68,uyalesmanajr,Selow cover,"525 plays
525","View all likes
1",0,0,All music genres,20 February 2019
69,uyalesmanajr,Cinta Sejati,"49 plays
49",0,0,0,All music genres,20 February 2019
70,user5349243,Taxi Band - Hujan Kemarin www.musik-corner.com,"6,773,621 plays
6.77M","View all likes
81.4K","View all reposts
1,538",782 comments,All music genres,1 August 2010
71,Nur Ain,Tuhan jagakan dia - motif band,"6,198,668 plays
6.19M","View all likes
83.8K","View all reposts
2,013",592 comments,All music genres,27 March 2012
72,Sameer Khan Khilji,Humraah - Asim Azhar | Malang,"750,140 plays
750K","View all likes
25.7K","View all reposts
382",261 comments,All music genres,26 May 2020
73,Rizwan Chandio,Jaanam Fidaye Haideri by Sadiq hussain,"3,918,502 plays
3.91M","View all likes
120K","View all reposts
1,880","2,574 comments",All music genres,14 December 2018
74,Raja Saadain Nazir,Raaz-e-Ulfat OST Shahzad Sheikh Yumna Zaidi Geo,"2,892,035 plays
2.89M","View all likes
107K","View all reposts
1,332","1,713 comments",All music genres,14 April 2020
75,Latest Bollywood Songs,Tum Hi Aana | Marjaavaan | Jubin Nautiyal | Remix By DJ Farrukh,"5,760,725 plays
5.76M","View all likes
164K","View all reposts
2,297","2,643 comments",All music genres,10 November 2019
76,Trevor Daniel,Falling,"81,661,520 plays
81.6M","View all likes
1.23M","View all reposts
24.1K","35,269 comments",All music genres,4 October 2018
77,Zayn,Bekhayali | Kabir Singh | Full Version | Arijit Singh,"3,744,121 plays
3.74M","View all likes
110K","View all reposts
1,288","1,251 comments",All music genres,3 June 2019
78,Phillplay,Pioneer Moscow,"251,029 plays
251K","View all likes
2,946","View all reposts
74",315 comments,Top 50: All music genres,27 December 2019
79,POP SMOKE,Pop Smoke - For The Night (feat. DaBaby & Lil Baby),"35,107,621 plays
35.1M","View all likes
625K","View all reposts
9,895","34,695 comments",Top 50: All music genres,3 July 2020
80,Internet Money Records,"Lemonade Ft. Don Toliver, Gunna & NAV","22,987,178 plays
22.9M","View all likes
440K","View all reposts
20.2K","22,646 comments",Top 50: All music genres,14 August 2020
81,POP SMOKE,Pop Smoke - Mood Swings (feat. Lil Tjay),"34,279,051 plays
34.2M","View all likes
572K","View all reposts
8,534","30,991 comments",Top 50: All music genres,3 July 2020
